Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
ACAT1_prot	ACAT1	prot	ACAA2_prot;ACAT2_prot;ACO2_prot;COPS5_prot;CSE1L_prot;CUL1_prot;CUL3_prot;FLOT1_prot;MARS_prot;RAD21_prot;SDHA_prot;SDHB_prot;SSBP1_prot;TIMM44_prot;UBAP2L_prot;UBL4A_prot;UQCRB_prot	17
ACAT2_mrna	ACAT2	mrna	BUB3_prot;HNF4A_prot;KPNA2_prot;NCAPG_prot;RBM12_prot;VBP1_prot	6
ACAT2_prot	ACAT2	prot	ACAT1_prot;AHCY_prot;ALDH9A1_prot;ATG5_prot;BAG3_prot;FH_prot;GNAS_prot;HEXA_prot;HMGB3_prot;OLA1_prot;PAPSS1_prot;PKM_prot;PSAT1_prot;TUBB3_prot;UBA3_prot;VASP_prot;VDAC1_prot	17
ACBD3_mrna	ACBD3	mrna	BUB3_prot;HNF4A_prot;KPNA2_prot;NCAPG_prot;RBM12_prot;VBP1_prot	6
ACBD3_prot	ACBD3	prot	CUL3_prot;EFTUD2_prot;GOLGA3_prot;GOLGB1_prot;GORASP2_prot;HARS_prot;SARS_prot;SNF8_prot;TBCD_prot;UNC45A_prot;VPS36_prot;WDR12_prot	12
ACBD4_mrna	ACBD4	mrna	STAT1_prot	1
ACBD5_mrna	ACBD5	mrna	STAT1_prot	1
ACBD5_prot	ACBD5	prot	VAPA_prot;VAPB_prot	2
ACBD6_mrna	ACBD6	mrna	HMGB3_prot;NLE1_prot;RANBP1_prot;RUVBL1_prot;RUVBL2_prot	5
ACBD7_mrna	ACBD7	mrna	HMGB3_prot;NLE1_prot;RANBP1_prot;RUVBL1_prot;RUVBL2_prot	5
ACCS_mrna	ACCS	mrna	HMGB3_prot;NLE1_prot;RANBP1_prot;RUVBL1_prot;RUVBL2_prot	5
ACD_mrna	ACD	mrna	ELF1_prot;LIG1_prot;SNRPA_prot	3
ACE2_mrna	ACE2	mrna	ELF1_prot;LIG1_prot;SNRPA_prot	3
ACER2_mrna	ACER2	mrna	TRIM28_prot	1
ACER3_mrna	ACER3	mrna	TRIM28_prot	1
ACE_mrna	ACE	mrna	ELF1_prot;LIG1_prot;SNRPA_prot	3
ACE_prot	ACE	prot	ACTB_prot;CSNK2A1_prot;MYH9_prot	3
ACHE_mrna	ACHE	mrna	TRIM28_prot	1
ACIN1_mrna	ACIN1	mrna	BCLAF1_prot;CPSF1_prot;CTNNB1_prot;CUL3_prot;TRIM28_prot	5
