Node	Gene	Type	Basal-like_surv	HER2-enriched_surv	Luminal A_surv	Luminal B_surv
AGO1_mrna	AGO1	mrna	died	died	died	died
AGO1_prot	AGO1	prot	died	died	died	died
AGO2_mrna	AGO2	mrna	died	died	died	died
AGO2_prot	AGO2	prot	died	died	died	died
AGO3_mrna	AGO3	mrna	died	died	died	died
AGO3_prot	AGO3	prot	died	died	died	died
AGPAT1_prot	AGPAT1	prot	died	died	died	died
AGPAT2_mrna	AGPAT2	mrna	died	died	died	died
AGPAT2_prot	AGPAT2	prot	died	died	died	died
AGPAT3_prot	AGPAT3	prot	died	died	died	died
AGPAT4_mrna	AGPAT4	mrna	died	died	died	died
AGPAT5_mrna	AGPAT5	mrna	died	died	died	died
AGPAT5_prot	AGPAT5	prot	died	died	died	died
AGPS_mrna	AGPS	mrna	died	died	died	died
AGPS_prot	AGPS	prot	died	died	died	died
AGR2_mrna	AGR2	mrna	mrna	died	died	mrna
AGR2_prot	AGR2	prot	died	died	died	died
AGR3_prot	AGR3	prot	died	died	died	died
AGRN_prot	AGRN	prot	died	died	died	died
AGRP_mrna	AGRP	mrna	died	died	died	died
AGTPBP1_mrna	AGTPBP1	mrna	died	died	died	died
AGTPBP1_prot	AGTPBP1	prot	died	died	died	died
AGTR1_mrna	AGTR1	mrna	died	died	died	died
AGTRAP_mrna	AGTRAP	mrna	died	died	died	died
AGTRAP_prot	AGTRAP	prot	died	died	died	died
AGT_mrna	AGT	mrna	died	died	died	died
AGT_prot	AGT	prot	died	died	died	died
AHCTF1_mrna	AHCTF1	mrna	died	died	died	died
AHCTF1_prot	AHCTF1	prot	died	died	died	died
AHCYL1_mrna	AHCYL1	mrna	died	died	died	died
AHCYL1_prot	AHCYL1	prot	died	died	died	died
AHCYL2_prot	AHCYL2	prot	died	died	died	died
AHCY_mrna	AHCY	mrna	died	died	died	died
AHCY_prot	AHCY	prot	died	died	died	died
AHDC1_mrna	AHDC1	mrna	died	died	died	mrna
AHDC1_prot	AHDC1	prot	died	died	died	died
AHNAK2_mrna	AHNAK2	mrna	died	died	died	died
AHNAK2_prot	AHNAK2	prot	died	died	died	died
AHNAK_prot	AHNAK	prot	died	died	died	prot
AHR_mrna	AHR	mrna	died	died	died	died
AHR_prot	AHR	prot	died	died	died	died
AHSA1_mrna	AHSA1	mrna	died	died	mrna	mrna
AHSA1_prot	AHSA1	prot	died	died	died	died
AHSA2_mrna	AHSA2	mrna	died	died	died	died
AHSG_prot	AHSG	prot	died	died	died	died
AHSP_prot	AHSP	prot	died	died	died	died
AIDA_mrna	AIDA	mrna	died	died	died	died
AIDA_prot	AIDA	prot	died	died	died	died
AIF1L_prot	AIF1L	prot	died	died	died	died
AIF1_prot	AIF1	prot	died	died	died	died
AIFM1_mrna	AIFM1	mrna	died	died	died	died
AIFM1_prot	AIFM1	prot	died	died	died	prot
AIFM2_mrna	AIFM2	mrna	died	died	died	died
AIFM3_mrna	AIFM3	mrna	died	died	died	mrna
AIG1_mrna	AIG1	mrna	died	died	died	died
AIM1L_mrna	AIM1L	mrna	died	died	died	died
AIM1_prot	AIM1	prot	died	died	died	died
AIMP1_prot	AIMP1	prot	died	died	died	died
AIMP2_mrna	AIMP2	mrna	died	died	died	died
AIMP2_prot	AIMP2	prot	died	died	died	died
AIP_mrna	AIP	mrna	died	died	died	died
AIP_prot	AIP	prot	died	died	died	died
AJUBA_mrna	AJUBA	mrna	died	died	died	died
AJUBA_prot	AJUBA	prot	died	died	died	died
AK1_mrna	AK1	mrna	died	died	died	died
AK1_prot	AK1	prot	died	died	died	died
AK2_mrna	AK2	mrna	died	died	died	mrna
AK2_prot	AK2	prot	died	died	died	died
AK3_prot	AK3	prot	died	died	died	died
AK4_prot	AK4	prot	died	died	died	died
AK6_prot	AK6	prot	died	died	died	died
AK9_mrna	AK9	mrna	died	died	died	died
AKAP10_mrna	AKAP10	mrna	died	died	died	died
AKAP10_prot	AKAP10	prot	died	died	died	died
AKAP11_mrna	AKAP11	mrna	died	died	died	died
AKAP11_prot	AKAP11	prot	died	died	died	died
AKAP12_mrna	AKAP12	mrna	died	died	died	died
AKAP12_prot	AKAP12	prot	died	died	died	died
AKAP13_prot	AKAP13	prot	died	died	died	prot
AKAP17A_prot	AKAP17A	prot	died	died	died	died
AKAP1_mrna	AKAP1	mrna	died	died	died	died
AKAP1_prot	AKAP1	prot	died	died	died	died
AKAP2_mrna	AKAP2	mrna	died	died	died	died
AKAP5_prot	AKAP5	prot	died	died	died	died
AKAP8L_mrna	AKAP8L	mrna	died	died	died	died
AKAP8L_prot	AKAP8L	prot	died	died	died	died
AKAP8_prot	AKAP8	prot	died	died	died	prot
AKAP9_mrna	AKAP9	mrna	died	died	died	died
AKAP9_prot	AKAP9	prot	died	died	died	died
AKIP1_mrna	AKIP1	mrna	died	died	died	died
AKIRIN1_mrna	AKIRIN1	mrna	died	died	died	died
AKNAD1_mrna	AKNAD1	mrna	died	died	died	died
AKNA_mrna	AKNA	mrna	died	died	died	died
AKR1A1_prot	AKR1A1	prot	died	died	died	died
AKR1B10_prot	AKR1B10	prot	died	died	died	died
AKR1B1_mrna	AKR1B1	mrna	died	died	died	died
AKR1B1_prot	AKR1B1	prot	died	died	died	died
AKR1C1_mrna	AKR1C1	mrna	died	died	died	died
AKR1C1_prot	AKR1C1	prot	died	died	died	died
AKR1C2_mrna	AKR1C2	mrna	died	died	died	died
AKR1C2_prot	AKR1C2	prot	died	died	died	died
AKR1C3_mrna	AKR1C3	mrna	mrna	died	died	died
AKR1C3_prot	AKR1C3	prot	died	died	died	died
